"Donor				",Location Name,FID of the park,Zone,Location latitude,Location longitude,Unique ID of the Percolation well,Percolation well latitude,Percolation well longitude
Fidelity,Triangle park 1,,East zone,,,FE-61,13.00091,77.66146
Fidelity,Triangle park 1,,East zone,,,FE-62,13.00094,77.66148
Fidelity,Buvanagitri Park,,East Zone,,,FE93,12.9951,77.60898
Fidelity,Buvanagitri Park,,East Zone,,,FE95,13.01183,77.65915
Fidelity,Buvanagitri Park,,East Zone,,,FE92,13.01156,77.65886
Fidelity,Buvanagitri Park,,East Zone,,,FE94,13.01192,77.65876
Fidelity,Sadanandhanagar Park,,East zone,,,FE97,12.99686,77.66205
Fidelity,Sadanandhanagar Park,,East zone,,,FE98,12.99692,77.66203
Fidelity,Sadanandhanagar Park,,East zone,,,FE99,12.99713,77.66209
Fidelity,Sadanandhanagar Park,,East zone,,,FE100,12.99735,77.66188
Fidelity,Sadanandhanagar Park,,East zone,,,FE101,12.99731,77.662
Fidelity,Sadanandhanagar Park,,East zone,,,FE102,12.99732,77.66199
Fidelity,Shivaram karandh park,,East zone,,,FE116,13.00361,77.66183
Fidelity,Shivaram karandh park,,East zone,,,FE117,13.00366,77.66211
Fidelity,Shivaram karandh park,,East zone,,,FE119,13.0037,77.66219
Fidelity,Shivaram karandh park,,East zone,,,FE120,13.00357,77.66228
Fidelity,Shivaram karandh park,,East zone,,,FE122,13.00349,77.66221
Fidelity,Shivaram karandh park,,East zone,,,FE123,13.00337,77.66198
Fidelity,Shivaram karandh park,,East zone,,,FE124,13.00333,77.66183
Fidelity,Shivaram karandh park,,East zone,,,FE118,13.0036,77.66227
Fidelity,Shivaram karandh park,,East zone,,,FE121,13.00355,77.66238
FIDELITY,GREEN VIEW PARK,,EAST ZONE,,,FE-104,13.00806,77.65843
FIDELITY,GREEN VIEW PARK,,EAST ZONE,,,FE-105,13.008,77.6583
FIDELITY,GREEN VIEW PARK,,EAST ZONE,,,FE-103,13.00798,77.65841
FIDELITY,GREEN VIEW PARK,,EAST ZONE,,,FE-106,13.00832,77.65833
Fidelity,Kasturi nagar Park,,East zone,,,FE107,13.00503,77.66209
Fidelity,Kasturi nagar Park,,East zone,,,FE108,13.00508,77.6624
Fidelity,Kasturi nagar Park,,East zone,,,FE109,13.00519,77.66259
Fidelity,Kasturi nagar Park,,East zone,,,FE110,13.00455,77.66146
Fidelity,Kasturi nagar Park,,East zone,,,FE111,13.00429,77.66092
Fidelity,Kasturi nagar Park,,East zone,,,FE112,13.00398,77.6603
Fidelity,Kasturi nagar Park,,East zone,,,FE113,13.00385,77.66015
Fidelity,Kasturi nagar Park,,East zone,,,FE114,13.00343,77.65941
Fidelity,Kasturi nagar Park,,East zone,,,FE-115,13.00332,77.65918
Fidelity,Narayana Olympiad School park,,East zone,,,FE-125,13.00767,77.66197
Fidelity,Narayana Olympiad School park,,East zone,,,FE-127,13.00762402,77.66184235
Fidelity,Traingle park 2,,East zone,,,FE126,13.00196101,77.660841
Fidelity,KSRP 9th battalion,,Bommanahalli Zone,,,FE-132,12.89012466,77.6693674
Fidelity,KSRP 9th battalion,,Bommanahalli Zone,,,FE-134,12.89003503,77.669269
Fidelity,KSRP 9th battalion,,Bommanahalli Zone,,,FE-135,12.89006101,77.669166
Fidelity,KSRP 9th battalion,,Bommanahalli Zone,,,FE-137,12.89322674,77.6706953
Fidelity,KSRP 9th battalion,,Bommanahalli Zone,,,FE-133,12.89061899,77.670717
Fidelity,KSRP 9th battalion,,Bommanahalli Zone,,,FE-136,12.89023301,77.6693008
Fidelity,Kanakadasa park,,East zone,,,FE-67,13.01691,77.64106
Fidelity,Kanakadasa park,,East zone,,,FE-68,13.01696,77.64093
Fidelity,Kanakadasa park,,East zone,,,FE-69,13.01693,77.64082
Fidelity,Kanakadasa park,,East zone,,,FE-70,13.01692,77.6406
Fidelity,Kanakadasa park,,East zone,,,FE-71,13.01691,77.64059
Fidelity,Kanakadasa park,,East zone,,,FE-72,13.01676,77.64058
Fidelity,Kanakadasa park,,East zone,,,FE-73,13.01671,77.64057
Fidelity,Kanakadasa park,,East zone,,,FE-74,13.0167,77.64057
Fidelity,Kanakadasa park,,East zone,,,FE-75,13.01661,77.64056
Fidelity,Kanakadasa park,,East zone,,,FE-76,13.01651,77.64074
Fidelity,Kanakadasa park,,East zone,,,FE-77,13.01649,77.6408
Fidelity,Kanakadasa park,,East zone,,,FE-78,13.01643,77.64067
Fidelity,Kanakadasa park,,East zone,,,FE-79,13.01644,77.64069
Fidelity,Kanakadasa park,,East zone,,,FE-80,13.01637,77.64085
Fidelity,Kanakadasa park,,East zone,,,FE-81,13.01637,77.64087
Fidelity,Kanakadasa park,,East zone,,,FE-82,13.01682461,77.64056956
Fidelity,Kanakadasa park,,East zone,,,FE-83,13.01626,77.64056
Fidelity,Rajkumar Park,,East zone,,,FE-84,13.01618,77.64054
Fidelity,Rajkumar Park,,East zone,,,FE-85,13.01618,77.64064
Fidelity,Rajkumar Park,,East zone,,,FE-86,13.01601,77.64053
Fidelity,Rajkumar Park,,East zone,,,FE-87,13.016,77.64069
Fidelity,Rajkumar Park,,East zone,,,FE-88,13.01625,77.64091
Fidelity,Rajkumar Park,,East zone,,,FE-89,13.01625,77.64099
Fidelity,Rajkumar Park,,East zone,,,FE-90,13.01606,77.64099
Fidelity,Rajkumar Park,,East zone,,,FE-91,13.01595,77.641
Fidelity,Rajkumar Park,,East zone,,,FE-92,13.01594,77.64082
Fidelity,Rajkumar Park,,East zone,,,FE-63,13.01585,77.64084
Fidelity,Rajkumar Park,,East zone,,,FE-64,13.0158,77.64057
Fidelity,Rajkumar Park,,East zone,,,FE-65,13.0158,77.64068
Fidelity,Rajkumar Park,,East zone,,,FE-66,13.01576,77.64085
